GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.example.devops.security,JwtFilter,103,54,16,0,23,3,10,2,2,2
backend,com.example.devops.security,JwtTokenUtil,339,0,4,0,87,0,14,0,12,0
backend,com.example.devops.web,GlobalExceptionHandler,12,3,0,0,3,1,1,1,1,1
backend,com.example.devops.web,ApiErrorHandler,6,3,0,0,1,1,1,1,1,1
backend,com.example.devops.web,EventQueryController,101,0,4,0,20,0,5,0,3,0
backend,com.example.devops.web,TicketController,132,0,6,0,36,0,10,0,7,0
backend,com.example.devops.web,HealthController,7,0,0,0,2,0,2,0,2,0
backend,com.example.devops.web,EventController,332,0,36,0,67,0,34,0,16,0
backend,com.example.devops.controller,ProfileController.UpdateOrganizerRequest,0,52,0,0,0,15,0,15,0,15
backend,com.example.devops.controller,ProfileController.UpdateUserRequest,0,38,0,0,0,11,0,11,0,11
backend,com.example.devops.controller,MeController,0,192,0,8,0,39,0,8,0,4
backend,com.example.devops.controller,AuthController.UserSignupRequest,52,0,0,0,15,0,15,0,15,0
backend,com.example.devops.controller,AuthController.OrganizerSignupRequest,66,0,0,0,19,0,19,0,19,0
backend,com.example.devops.controller,AdminController,65,411,18,24,10,85,15,21,1,14
backend,com.example.devops.controller,AuthController.LoginRequest,0,17,0,0,0,5,0,5,0,5
backend,com.example.devops.controller,ProfileController,97,379,15,23,16,76,17,11,2,7
backend,com.example.devops.controller,AuthController,353,151,29,11,66,31,20,9,4,5
backend,com.example.devops.dto,EventUpdateRequest,90,0,0,0,9,0,19,0,19,0
backend,com.example.devops.dto,TicketSetupResponse,70,0,0,0,7,0,15,0,15,0
backend,com.example.devops.dto,EventMapper,134,57,26,4,28,18,18,3,4,2
backend,com.example.devops.dto,TicketSetupRequest.ZoneConfig,66,0,0,0,8,0,14,0,14,0
backend,com.example.devops.dto,TicketSetupResponse.TicketSetupResponseBuilder,64,0,0,0,1,0,9,0,9,0
backend,com.example.devops.dto,EventUpdateRequest.EventUpdateRequestBuilder,83,0,0,0,1,0,11,0,11,0
backend,com.example.devops.dto,TicketSetupRequest,86,0,0,0,11,0,18,0,18,0
backend,com.example.devops.dto,EventResponse,51,89,0,0,0,14,13,16,13,16
backend,com.example.devops.dto,TicketSetupResponse.ZonePrice.ZonePriceBuilder,36,0,0,0,1,0,6,0,6,0
backend,com.example.devops.dto,EventCreateRequest,90,0,0,0,9,0,19,0,19,0
backend,com.example.devops.dto,TicketSetupResponse.ZonePrice,40,0,0,0,4,0,9,0,9,0
backend,com.example.devops.dto,EventCreateRequest.EventCreateRequestBuilder,83,0,0,0,1,0,11,0,11,0
backend,com.example.devops.dto,EventResponse.EventResponseBuilder,36,93,0,0,0,1,2,14,2,14
backend,com.example.devops.service,TicketSetupService,907,0,96,0,193,0,59,0,11,0
backend,com.example.devops,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.example.devops.model,Organizer,7,73,0,0,2,21,2,21,2,21
backend,com.example.devops.model,SeatZones,59,0,0,0,10,0,17,0,17,0
backend,com.example.devops.model,EventsNam,108,68,0,0,3,17,15,21,15,21
backend,com.example.devops.model,SeatRows,45,0,0,0,8,0,13,0,13,0
backend,com.example.devops.model,Categories,3,0,0,0,1,0,1,0,1,0
backend,com.example.devops.model,ZoneTicketTypes,16,0,0,0,7,0,4,0,4,0
backend,com.example.devops.model,OrganizerSessions,3,0,0,0,1,0,1,0,1,0
backend,com.example.devops.model,ReservedSeatsId,3,0,0,0,1,0,1,0,1,0
backend,com.example.devops.model,ReservedSeats,10,0,0,0,4,0,3,0,3,0
backend,com.example.devops.model,User,0,66,0,0,0,19,0,19,0,19
backend,com.example.devops.model,TicketTypes,101,0,0,0,16,0,29,0,29,0
backend,com.example.devops.model,ZoneTicketTypesId,69,0,8,0,17,0,12,0,8,0
backend,com.example.devops.model,Payments,3,0,0,0,1,0,1,0,1,0
backend,com.example.devops.model,Seats,52,0,0,0,9,0,15,0,15,0
backend,com.example.devops.model,SeatLocks,3,0,0,0,1,0,1,0,1,0
backend,com.example.devops.model,AdminUsers,62,0,0,0,18,0,17,0,17,0
backend,com.example.devops.model,Reserved,3,0,0,0,1,0,1,0,1,0
backend,com.example.devops.model,UserSessions,3,0,0,0,1,0,1,0,1,0
backend,com.example.devops.config,DataInitializer,3,0,0,0,1,0,1,0,1,0
backend,com.example.devops.config,SecurityConfig,262,0,0,0,38,0,11,0,11,0
